pleiadesId,geonamesId
197488,3190088
206927,686590
206928,663394
207304,686288
207395,783764
217044,673382
511187,738927
101190,2745673
108729,2975050
108735,2956891
108736,2907391
108736,2956710
108739,2803246
108746,2871190
108746,2956206
108748,3038350
108749,2885438
108749,2940925
108749,3247449
108750,2809346
108750,2831194
108750,2839380
108750,2885273
108750,2925307
108750,2935414
108750,2949082
108750,2956405
108751,/8593864
108751,2803692
108751,2803912
108751,2806107
108751,2809712
108751,2810612
108751,2826466
108751,2845257
108751,2847013
108751,2847619
108751,2851014
108751,2853810
108751,2871663
108751,2873613
108751,2875695
108751,2886242
108751,2891836
108751,2894429
108751,2927354
108751,2929622
108751,2947284
108751,2955867
108751,2957833
108751,2958023
108751,6324464
108751,8593863
108754,2973783
108754,3011438
108755,3032712
108761,2821005
108761,2955292
108765,2785389
108788,3034514
108798,2948184
108801,2847684
108801,2928396
108801,2948937
108802,2813453
108802,2869306
108809,2815186
108809,2942079
108809,2948821
108809,2948825
108810,2948056
108816,3032238
108818,2878815
108818,2895877
108818,2940870
108818,2946447
108818,2949619
108820,2806142
108820,2812150
108828,3029771
108835,2857167
108835,2862485
108835,2937349
108837,2863105
108837,2864591
108837,2893836
108837,2893837
108839,2917487
108839,2940512
108840,2800698
108844,2645841
108844,2653266
108859,2892965
108863,2937790
108864,2892488
108867,2948349
108875,2757874
108879,3026309
108894,2821164
108896,2805385
108896,2814132
108896,2815814
108896,2873646
108896,2948243
108896,2948349
108896,2951612
108900,2641224
108903,2660123
108903,2871545
108903,2886946
108906,2886968
108906,2919118
108906,3207786
108908,2754652
108938,2890660
108941,2919495
108941,2935825
108944,3027487
108958,2798847
108977,3023511
108979,2920085
109000,2757930
109002,2921502
109008,3031133
109013,2866336
109016,2940925
109016,3015368
109016,3247449
109041,2847049
109041,3020321
109050,2899767
109053,3013155
109068,2823364
109068,2885332
109068,2894553
109068,2921144
109069,2998322
109074,8468761
109075,6555606
109089,2885165
109092,2883471
109092,2896734
109093,2793907
109126,2988507
109128,2996938
109141,2866336
109150,2872649
109167,2870534
109169,2805319
109169,2809346
109169,2812094
109169,2820499
109169,2859481
109169,2863240
109169,2869940
109169,2873622
109169,2874225
109169,2880270
109169,2887987
109169,2896015
109169,2896020
109169,2920329
109169,2926666
109169,2933907
109169,2944180
109169,6555297
109169,8740800
109169,874225
109174,2944800
109188,2790471
109188,2796569
109190,2991031
109205,2846092
109205,2852309
109205,2908403
109205,2925533
109205,2926626
109207,2863608
109208,2863597
109209,2990420
109215,2826652
109215,2864118
109215,2917328
109215,2934246
109216,11215711
109216,2659152
109216,2659422
109224,2830582
109224,2864572
109232,2803073
109236,3003603
109252,2852762
109254,2975967
109274,2984136
109278,2983698
109281,2848335
109281,2952954
109281,3018969
109281,3023990
109281,3034991
109287,2982652
109292,2787521
109297,3208114
109317,2833134
109317,2975199
109321,3037854
109335,3034802
109348,2973999
109362,2823755
109362,2847595
109366,2972936
109369,2785809
109382,2803723
109382,2860926
109382,2871684
109382,2898360
109382,2929919
109389,2975588
109389,2979197
109389,2984108
109389,3014094
109396,2972350
109398,2785341
10941,3020321
109411,2885438
109413,2784903
109414,2970123
109426,2855767
109427,2953416
109428,2921034
109441,2783952
109444,2938348
109456,2811420
109472,2857076
114762,2659211
114762,3117331
114764,3012394
118537,2959927
118539,2864056
118539,2931741
118559,2957463
118569,2907851
118569,3175960
118571,2768627
118571,2769420
118571,2776859
118572,2814850
118572,2843636
118572,2844451
118572,2898028
118572,2921656
118572,2925177
118572,2926639
118572,2948770
118577,2760430
118577,2773913
118577,2777297
118580,2810129
118580,2829790
118580,2860406
118580,2864252
118580,2938145
118580,2949415
118580,2950446
118580,2954172
118580,6557122
118580,6559028
118581,2763459
118581,2770396
118581,2778714
118590,2855328
118600,2811909
118600,2903567
118600,2930567
118601,3206154
118606,2895933
118609,2922230
118628,2853974
118629,2762702
118629,2763270
118629,2766429
118629,2766951
118629,2768236
118629,2768473
118629,2768844
118629,2770113
118629,2771002
118629,2771682
118629,2771782
118629,2774703
118629,2775386
118629,2777082
118629,2777464
118629,2778283
118629,2782635
118629,7871827
118657,2933772
118673,2771766
118673,2779097
118681,2924802
118697,2885356
118706,2886008
118710,2915372
118716,2913555
118726,2891379
118758,6556938
118769,2895309
118777,2857528
118802,2760669
118802,2760772
118802,2761314
118802,2763560
118802,2764564
118802,2764813
118802,2766365
118802,2769052
118802,2769353
118802,2769488
118802,2769773
118802,2771783
118802,2771867
118802,2772262
118802,2773423
118802,2776725
118802,2779622
118802,2780048
118802,2782347
118802,2782480
118802,2782823
118802,2875909
118803,2772400
118811,2761945
118813,2809671
118813,2850804
118813,2865682
118813,2881980
118813,2907639
118813,2923334
118813,7521438
118813,8505030
118829,2874246
118840,2919652
118840,790803
118901,2761179
118901,2761467
118901,2761524
118901,2762290
118901,2764463
118901,2765886
118901,2766846
118901,2769131
118901,2771962
118901,2773538
118901,2773718
118901,2774391
118901,2775062
118901,2780072
118901,2782332
118901,8410618
118903,2941271
118904,2913657
118904,2913711
118904,2928079
118912,2853969
118912,2868788
118912,2924347
118912,2928379
118912,3206254
118919,2882431
118919,2920304
118926,2835477
118929,2841612
118929,2849483
118929,2870996
118945,2930934
118948,2831872
118968,2826099
118985,2843729
118985,284729
118985,65558161
118985,6558161
118986,2871716
118986,2941251
119017,2873992
119019,2866070
119020,2853923
119026,2857565
119026,2865557
119030,2806461
119030,2867011
119031,2808802
119031,2861737
119042,2814747
119054,2806082
123117,2871079
123119,2861914
128353,2599059
128353,2765538
128353,2771955
128353,2778238
128353,2780017
128353,2780536
128354,2760388
128354,2761369
128354,2765388
128355,2761003
128355,2765101
128355,2781837
128355,2782067
128375,2760652
128376,2760825
128376,2761123
128376,2761758
128376,2761909
128376,2762445
128376,2764288
128376,2764296
128376,2764937
128376,2765558
128376,2765751
128376,2768242
128376,2768357
128376,2768459
128376,2768622
128376,2769013
128376,2769242
128376,2769461
128376,2770684
128376,2770810
128376,2771049
128376,2772003
128376,2772256
128376,2772709
128376,2773721
128376,2773744
128376,2775040
128376,2775808
128376,2776988
128376,2778238
128376,2778355
128376,2780190
128376,2780501
128376,2780842
128376,2781361
128376,2781373
128376,2782068
128376,2782242
128376,3060972
128376,3337263
128376,3337271
128376,7873055
128385,2766765
128385,2770475
128385,7871918
128399,2760449
128399,2769259
128399,3048817
128399,3057792
128399,3058117
128537,2761369
128537,2762150
128537,2771921
128537,2775204
128537,2781780
128537,2977137
128537,2992255
128537,3025162
128537,3034044
138192,3037018
138202,3024635
138206,3035843
138207,3031005
138214,3035173
138248,3031582
138260,3027453
138281,2989317
138373,3006806
138390,2967165
138422,2986495
138424,2998340
138432,2969276
138458,2980340
138459,2996519
138459,3026258
138459,3037790
138533,2983770
138535,2983052
138579,2983154
138650,2987967
140499,2987767
147992,3037682
147993,2994603
147993,3002741
147993,3037352
147997,2976777
148004,3035681
148007,3035268
148027,3028134
148027,3028185
148036,3028542
148036,3033900
148056,3032833
148081,2992944
148085,3017651
148093,2977214
148107,3006121
148123,2968536
148138,2991118
148142,2974658
148142,2990363
148142,2991046
148142,2991118
148142,2995782
148142,3004891
148142,3006056
148142,3024320
148202,3028337
148222,2971258
148222,2974765
148228,2971154
157812,2970962
157812,3037456
157834,2972195
157834,2981783
157834,2988214
157834,2990440
157834,2998917
157834,3001613
157834,3006089
157834,3019095
157834,3019174
157834,3020834
157834,3024946
157834,3026243
157834,3028418
157834,3034041
157834,6455475
157843,2972784
157843,3021382
157861,2985142
157861,3020119
157923,2975100
157923,3034842
157952,3014718
167626,3038358
167630,3038276
167641,3002983
167644,3037749
167646,3002465
167650,2983127
167650,3038354
167657,3036281
167657,3037489
167663,2968267
167663,3009885
167663,3038426
167685,2974675
167685,3037540
167691,2976407
167691,2982841
167691,2982842
167691,3000196
167691,3006554
167691,3007402
167691,3016579
167691,3022161
167691,3030139
167691,3030142
167701,3025033
167734,3014728
167736,299132
167736,2991325
167771,2983408
167771,3018560
167800,3007537
167810,2998639
167859,2659748
167909,2976412
167919,6543783
167932,6615540
167973,2970148
167973,2972273
167973,2977701
167973,2979209
167973,3004963
167973,3009150
167973,3009978
167973,3014718
167973,3016534
167973,3022950
167973,3028513
167973,3029227
177429,2658864
177429,6615404
177434,3038193
177441,2991977
177441,3007680
177445,2661646
177460,3035883
177466,3035247
177468,2661604
177471,2661552
177485,3027484
177489,3021372
177491,3026380
177494,2661681
177495,2661661
177495,2659529
177495,2661661
177514,2657941
177514,3020251
177516,2996251
177518,3019785
177528,2660646
177540,3020141
177557,2659952
177565,2659994
177565,6615402
177568,2996995
177576,2995189
177577,2996882
177580,2659569
177581,2993730
177602,2658123
177624,2658564
177630,2658576
177637,6615404
177639,2657891
177648,2659289
177656,2969644
177657,3033123
177659,2968964
177661,2657976
177661,2661374
177661,6697287
177661,6945087
177663,2658145
177669,2657940
187242,2849001
187242,2929874
187265,2764135
187265,2770260
187265,2772505
187265,2772820
187265,2778305
187265,2780859
187265,2782015
187265,3164301
187265,3164949
187265,3217285
187265,6535938
187292,2661731
187309,2826335
187309,2833918
187309,2853527
187309,2895713
187309,2905641
187309,2925398
187309,2940127
187309,3205634
187322,3181550
187325,2781503
187326,2898028
187335,2891620
187335,2891621
187357,2661169
187382,2923507
187386,2997581
187386,3029306
187386,3178605
187420,2771235
187429,2805419
187432,2760634
187432,2761507
187432,2762341
187432,2762619
187432,2763837
187432,2763900
187432,2764022
187432,2765077
187432,2765231
187432,2765257
187432,2766184
187432,2766710
187432,2766824
187432,2768282
187432,2769682
187432,2770369
187432,2770624
187432,2770720
187432,2771185
187432,2771277
187432,2771633
187432,2771750
187432,2772377
187432,2772507
187432,2773304
187432,2774545
187432,2775160
187432,2775375
187432,2776513
187432,2776761
187432,2776938
187432,2777921
187432,2778361
187432,2778385
187432,2779698
187432,2779982
187432,2780113
187432,2780147
187432,2781735
187432,2813755
187432,2820964
187432,2822075
187432,2822082
187432,2822574
187432,2823390
187432,2823611
187432,2824420
187432,2824582
187432,2831731
187432,2842164
187432,2842703
187432,2851244
187432,2858424
187432,2871179
187432,2873055
187432,2873097
187432,2880129
187432,2890590
187432,2890673
187432,2890770
187432,2892001
187432,2902287
187432,2918434
187432,2924819
187432,2924868
187432,2927351
187432,2927853
187432,2928362
187432,2930367
187432,2933197
187432,2933204
187432,2940127
187432,2952025
187432,2956570
187432,2956940
187432,3322982
187432,6324597
187432,6956617
187432,6956631
187432,7290052
187472,2763668
187485,2659133
187516,2851801
187516,2854396
187531,2820752
187537,2762372
187537,2766572
187537,2769582
187537,2777563
187537,2778083
187537,2780093
187537,2780095
187546,3168114
187546,3178820
187573,2658489
187573,265849
187573,2660859
187581,2760523
187583,2760380
187583,2761042
187583,2762372
187583,2762435
187583,2764786
187583,2765286
187583,2766394
187583,2766434
187583,2766496
187583,2766547
187583,2766738
187583,2767690
187583,2768102
187583,2768287
187583,2769117
187583,2769212
187583,2769637
187583,2769682
187583,2770264
187583,2771290
187583,2771307
187583,2771917
187583,2772036
187583,2772650
187583,2772672
187583,2772849
187583,2774516
187583,2774559
187583,2776595
187583,2777287
187583,2778441
187583,2779719
187583,2779786
187583,2780415
187583,2780657
187583,2780870
187583,2781061
187583,2782023
187583,2782402
187583,2783013
187583,3180925
187583,7871661
187583,7872231
187583,7872235
187583,7872795
187596,2657896
187608,2765715
187608,2775220
187624,2885679
187624,6295536
197062,2760977
197062,2773943
197062,2782552
197062,3047896
197074,3056437
197085,3043175
197088,3202507
197089,3189194
197089,3189237
197089,3189479
197089,3198076
197089,3202873
197089,3261346
197094,3187142
197094,3187702
197094,3192346
197094,3201547
197094,3216446
197095,3190865
197095,3192634
197095,3194242
197095,3198288
197095,3199235
197095,3200622
197095,3203262
197095,3204628
197095,3277965
197097,3189073
197097,3192068
197097,3192576
197097,3197538
197097,3201675
197097,3220270
197097,3318248
197097,3318253
197102,3191963
197102,3192174
197102,3195418
197102,3196834
197109,3047889
197111,3193823
197111,3196464
197112,3187250
197112,3195343
197113,3186886
197113,3187332
197113,3190966
197113,3191200
197113,3193387
197113,3194216
197113,3198172
197113,3201496
197113,3202309
197113,3209380
197113,3217830
197115,11054614
197115,11054614/3199957
197115,3189440
197115,3191979
197115,3199957
197115,3200092
197115,3201426
197126,3194019
197126,3195069
197126,3202184
197127,3188380
197127,3196120
197128,3193936
197128,3199145
197128,3203928
197128,3269756
197128,3295619
197130,3042507
197130,3042947
197130,3042973
197130,3042998
197130,3043224
197130,3043231
197130,3043293
197130,3043317
197130,3043778
197130,3044103
197130,3044220
197130,3044481
197130,3044681
197130,3044774
